Date,Close,High,Low,Open,Volume
2025-04-30T00:00:00,58.21,60.43,57.91,60.16,419549
2025-05-01T00:00:00,59.24,59.5,56.39,58.16,364216
2025-05-02T00:00:00,58.29,59.87,57.74,58.99,322096
2025-05-05T00:00:00,57.13,57.7,55.3,56.76,308387
2025-05-06T00:00:00,59.09,59.84,57.03,57.25,343893
2025-05-07T00:00:00,58.07,60.26,57.81,58.98,295238
2025-05-08T00:00:00,59.91,60.29,57.74,57.93,281000
2025-05-09T00:00:00,61.02,61.45,59.89,60.25,239640
2025-05-12T00:00:00,61.95,63.61,61.02,61.39,325865
2025-05-13T00:00:00,63.67,63.9,61.65,62,258795
2025-05-14T00:00:00,63.15,63.68,62.75,63.62,225626
2025-05-15T00:00:00,61.62,62.91,60.47,62.88,258404
2025-05-16T00:00:00,62.49,62.71,61.25,61.7,121556
2025-05-19T00:00:00,62.69,63.4,61.57,62.75,95570
2025-05-20T00:00:00,62.56,63.17,62.19,62.68,250414
2025-05-21T00:00:00,61.57,64.19,61.28,62.27,302702
2025-05-22T00:00:00,61.2,61.75,60.25,61.33,258549
2025-05-23T00:00:00,61.53,61.88,60.02,60.81,273392
2025-05-27T00:00:00,60.89,62.14,60.26,61.7,291317
2025-05-28T00:00:00,61.84,62.54,60.85,61.04,260374
2025-05-29T00:00:00,60.94,63.07,60.55,61.83,299859
2025-05-30T00:00:00,60.79,61.72,59.74,60.94,384927
2025-06-02T00:00:00,62.52,63.88,61.06,61.11,403580
2025-06-03T00:00:00,63.41,63.89,62.4,63.02,291260
2025-06-04T00:00:00,62.85,63.96,62.17,63.36,321128
2025-06-05T00:00:00,63.37,63.98,62.5,62.76,232423
2025-06-06T00:00:00,64.58,64.8,62.82,63.33,310133
2025-06-09T00:00:00,65.29,65.43,64.2,64.8,235900
2025-06-10T00:00:00,64.98,66.28,64.57,65.46,279021
2025-06-11T00:00:00,68.15,68.37,64.6,64.76,378473
2025-06-12T00:00:00,68.04,69.29,66.72,69.03,379394
2025-06-13T00:00:00,72.98,77.62,68.49,68.9,715652
2025-06-16T00:00:00,71.77,77.49,69.38,76.54,367312
2025-06-17T00:00:00,74.84,75.54,71,71.11,154264
2025-06-18T00:00:00,75.14,76.07,72.94,75.61,0
2025-06-20T00:00:00,74.93,77.58,74.3,74.6,678377
2025-06-23T00:00:00,68.51,78.4,66.6,78,728868
2025-06-24T00:00:00,64.37,67.83,64,67.74,541475
2025-06-25T00:00:00,64.92,66.03,64.51,65.12,278504
2025-06-26T00:00:00,65.24,66.42,64.66,64.98,233771
2025-06-27T00:00:00,65.52,66.09,64.8,65.3,236284
2025-06-30T00:00:00,65.11,65.82,64.5,65.15,193289
2025-07-01T00:00:00,65.45,65.98,64.67,64.96,193162
2025-07-02T00:00:00,67.45,67.58,65.23,65.56,265200
2025-07-03T00:00:00,67,67.58,66.53,67.5,0
2025-07-04T00:00:00,66.5,67.18,66.04,67.13,0
2025-07-07T00:00:00,67.93,68.32,65.4,65.7,332949
2025-07-08T00:00:00,68.33,68.91,67.33,67.96,219882
2025-07-09T00:00:00,68.38,68.94,67.7,68.18,223945
2025-07-10T00:00:00,66.57,68.65,66.45,68.29,258654
2025-07-11T00:00:00,68.45,68.77,66.5,66.85,226297
2025-07-14T00:00:00,66.98,69.65,66.8,68.68,263877
2025-07-15T00:00:00,66.52,67.13,66.22,66.86,252724
2025-07-16T00:00:00,66.38,67.01,65.42,66.73,248346
2025-07-17T00:00:00,67.54,67.69,66.29,66.6,188802
2025-07-18T00:00:00,67.34,68.96,67.2,67.6,107628
2025-07-21T00:00:00,67.2,67.76,66.46,67.32,81194
2025-07-22T00:00:00,66.21,67.13,65.99,67.12,269991
2025-07-23T00:00:00,65.25,65.78,64.71,65.49,251825
2025-07-24T00:00:00,66.03,66.39,65.33,65.42,281209
2025-07-25T00:00:00,65.16,66.74,65,66.15,234283
2025-07-28T00:00:00,66.71,67.14,65.05,65.15,262038
2025-07-29T00:00:00,69.21,69.76,66.53,67.04,329112
2025-07-30T00:00:00,70,70.51,68.45,69.34,345336
2025-07-31T00:00:00,69.26,70.41,68.56,70.3,247031
2025-08-01T00:00:00,67.33,69.58,67.05,69.35,355819
2025-08-04T00:00:00,66.29,67.74,65.46,66.85,277375
2025-08-05T00:00:00,65.16,66.39,65.03,66.21,279030
2025-08-06T00:00:00,64.35,66.75,63.64,65.15,353827
2025-08-07T00:00:00,63.88,65.11,63.7,64.36,300518
2025-08-08T00:00:00,63.88,64.58,62.77,63.85,322939
2025-08-11T00:00:00,63.96,64.44,63.02,63.48,234807
2025-08-12T00:00:00,63.17,64.34,63.06,64,304441
2025-08-13T00:00:00,62.65,63.38,61.94,63.07,298939
2025-08-14T00:00:00,63.96,64.1,62.58,62.79,251652
2025-08-15T00:00:00,62.8,64.15,62.68,63.91,197390
2025-08-18T00:00:00,63.42,63.79,62.18,63,95113
2025-08-19T00:00:00,62.35,63.39,62.25,63.27,99484
2025-08-20T00:00:00,63.21,63.55,62.39,62.6,280663
2025-08-21T00:00:00,63.52,63.67,62.52,62.85,250166
2025-08-22T00:00:00,63.66,63.93,63.31,63.5,223169
2025-08-25T00:00:00,64.8,65.1,63.53,63.88,185270
2025-08-26T00:00:00,63.25,64.76,63.13,64.75,199101
2025-08-27T00:00:00,64.15,64.23,62.95,63.31,193476
2025-08-28T00:00:00,64.6,64.7,63.35,63.87,208931
2025-08-29T00:00:00,64.01,64.55,63.88,64.26,0
2025-09-02T00:00:00,65.59,66.03,63.66,63.95,320218
2025-09-03T00:00:00,63.97,65.72,63.72,65.62,298737
2025-09-04T00:00:00,63.48,63.84,62.72,63.82,251689
2025-09-05T00:00:00,61.87,63.49,61.45,63.33,294540
2025-09-08T00:00:00,62.26,63.34,61.85,62,237288
2025-09-09T00:00:00,62.63,63.67,62.37,62.43,268529
2025-09-10T00:00:00,63.67,64.08,62.72,62.74,260684
2025-09-11T00:00:00,62.37,63.8,62.21,63.8,222661
2025-09-12T00:00:00,62.69,63.98,61.69,62.27,313265
2025-09-15T00:00:00,63.3,63.67,62.52,62.97,205560
2025-09-16T00:00:00,64.52,64.76,62.89,63.31,234250
2025-09-17T00:00:00,64.05,64.67,63.69,64.59,165427
2025-09-18T00:00:00,63.57,64.55,63.33,63.99,82321
2025-09-19T00:00:00,62.68,63.65,62.6,63.59,87165
2025-09-22T00:00:00,62.64,63.18,61.98,62.74,223779
2025-09-23T00:00:00,63.41,63.89,61.85,62.33,265948
2025-09-24T00:00:00,64.99,65.05,63.25,63.64,282721
2025-09-25T00:00:00,64.98,65.34,64.06,64.8,258353
2025-09-26T00:00:00,65.72,66.42,64.66,65.2,284990
2025-09-29T00:00:00,63.45,65.4,62.98,65.07,294292
2025-09-30T00:00:00,62.37,63.26,62.03,63.14,271649
2025-10-01T00:00:00,61.78,62.89,61.4,62.46,274339
2025-10-02T00:00:00,60.48,62.54,60.4,61.78,290507
2025-10-03T00:00:00,60.88,61.38,60.55,60.7,240044
2025-10-06T00:00:00,61.69,62.12,61.04,61.14,224682
2025-10-07T00:00:00,61.73,62.11,60.72,61.73,245121
2025-10-08T00:00:00,62.55,62.92,62.05,62.05,273318
2025-10-09T00:00:00,61.51,62.87,61.25,62.31,259171
2025-10-10T00:00:00,58.9,61.67,58.22,61.49,339103
2025-10-13T00:00:00,59.49,60.17,59,59,339103
2025-10-14T00:00:00,58.7,59.82,57.68,59.58,259200
2025-10-15T00:00:00,58.27,59.42,58.2,58.6,224919
2025-10-16T00:00:00,57.46,59.11,57.26,58.77,203866
2025-10-17T00:00:00,57.54,57.72,56.6,57.5,108748
2025-10-20T00:00:00,57.52,57.81,56.35,57.73,108146
2025-10-21T00:00:00,57.82,58.28,56.99,57.37,314207
2025-10-22T00:00:00,58.5,59.83,57.34,57.59,378637
2025-10-23T00:00:00,61.79,62.2,59.64,59.94,735186
2025-10-24T00:00:00,61.5,62.59,61.21,61.79,373744
2025-10-27T00:00:00,61.31,62.17,60.67,61.82,272191
2025-10-28T00:00:00,60.15,61.5,59.76,61.5,307568
2025-10-29T00:00:00,60.48,61.02,59.7,60.18,276875
